Id,IsDeleted,CampaignId,LeadId,ContactId,Status,HasResponded,IsPrimary,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,FirstRespondedDate
Chris-Xi,,Developer-Edition,,Chris-Xi,,,,2018-10-2,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,Free-Trial,,Chris-Xi,,,,2018-10-11,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,Request-Demo,,Chris-Xi,,,,2018-10-11,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,Test-Drive,,Chris-Xi,,,,2018-10-13,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,FraudDetect-AML-Webinar,,Chris-Xi,,,,2018-10-23,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,GSQL-Webinar-Pt1,,Chris-Xi,,,,2018-10-26,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,Sales-Meeting,,Chris-Xi,,,,2018-10-28,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,GSQL-Whitepaper,,Chris-Xi, ,,,2018-11-4,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,Sales-Meeting,,Chris-Xi,,,,2018-11-8,00536000006DZLrAAO,2018-11-15,,,
Chris-Xi,,Sales-Meeting,,Chris-Xi,,,,2018-11-15,00536000006DZLrAAO,2018-11-15,,,
Samantha-Mars,,Test-Drive,,Samantha-Mars,,,,2018-8-5,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,Developer-Edition,,Samantha-Mars,,,,2018-8-10,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,Free-Trial,,Samantha-Mars,,,,2018-8-18,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,GSQL-Webinar-Pt1,,Samantha-Mars,,,,2018-8-31,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,Benchmark-Report,,Samantha-Mars,,,,2018-9-4,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,Request-Demo,,Samantha-Mars,,,,2018-9-7,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,Sales-Meeting,,Samantha-Mars,,,,2018-9-11,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,Sales-Meeting,,Samantha-Mars,,,,2018-9-12,00536000006DZLrAAO,2018-9-14,,,
Samantha-Mars,,Sales-Meeting,,Samantha-Mars,,,,2018-9-14,00536000006DZLrAAO,2018-9-14,,,
Amanda-Morris,,Request-Demo,,Amanda-Morris,,,,2018-12-15,00536000006DZLrAAO,2019-1-17,,,
Amanda-Morris,,Test-Drive,,Amanda-Morris,,,,2018-12-20,00536000006DZLrAAO,2019-1-17,,,
Amanda-Morris,,Free-Trial,,Amanda-Morris,,,,2018-12-22,00536000006DZLrAAO,2019-1-17,,,
Amanda-Morris,,FraudDetect-AML-Webinar,,Amanda-Morris,,,,2018-12-28,00536000006DZLrAAO,2019-1-17,,,
Amanda-Morris,,Sales-Meeting,,Amanda-Morris,,,,2019-1-4,00536000006DZLrAAO,2019-1-17,,,
Amanda-Morris,,Benchmark-Report,,Amanda-Morris,,,,2019-1-10,00536000006DZLrAAO,2019-1-17,,,
Amanda-Morris,,Sales-Meeting,,Amanda-Morris,,,,2019-1-17,00536000006DZLrAAO,2019-1-17,,,
Ben-Edwards,,Free-Trial,,Ben-Edwards,,,,2019-2-24,00536000006DZLrAAO,2019-3-24,,,
Ben-Edwards,,Request-Demo,,Ben-Edwards,,,,2019-3-5,00536000006DZLrAAO,2019-3-24,,,
Ben-Edwards,,Test-Drive,,Ben-Edwards,,,,2019-3-10,00536000006DZLrAAO,2019-3-24,,,
Ben-Edwards,,Sales-Meeting,,Ben-Edwards,,,,2019-3-13,00536000006DZLrAAO,2019-3-24,,,
Ben-Edwards,,GSQL-Webinar-Pt1,,Ben-Edwards,,,,2019-3-18,00536000006DZLrAAO,2019-3-24,,,
Ben-Edwards,,Sales-Meeting,,Ben-Edwards,,,,2019-3-24,00536000006DZLrAAO,2019-3-24,,,
Jamie-Denham,,Request-Demo,,Jamie-Denham,,,,2019-4-15,00536000006DZLrAAO,2019-5-8,,,
Jamie-Denham,,Free-Trial,,Jamie-Denham,,,,2019-4-21,00536000006DZLrAAO,2019-5-8,,,
Jamie-Denham,,Test-Drive,,Jamie-Denham,,,,2019-4-26,00536000006DZLrAAO,2019-5-8,,,
Jamie-Denham,,FraudDetect-AML-Webinar,,Jamie-Denham,,,,2019-4-29,00536000006DZLrAAO,2019-5-8,,,
Jamie-Denham,,Sales-Meeting,,Jamie-Denham,,,,2019-5-2,00536000006DZLrAAO,2019-5-8,,,
Jamie-Denham,,Sales-Meeting,,Jamie-Denham,,,,2019-5-8,00536000006DZLrAAO,2019-5-8,,,
Shehab-Thabet,,Free-Trial,,Shehab-Thabet,,,,2019-5-30,00536000006DZLrAAO,2019-7-15,,,
Shehab-Thabet,,Test-Drive,,Shehab-Thabet,,,,2019-6-4,00536000006DZLrAAO,2019-7-15,,,
Shehab-Thabet,,Request-Demo,,Shehab-Thabet,,,,2019-6-10,00536000006DZLrAAO,2019-7-15,,,
Shehab-Thabet,,Sales-Meeting,,Shehab-Thabet,,,,2019-6-15,00536000006DZLrAAO,2019-7-15,,,
Shehab-Thabet,,GSQL-Webinar-Pt1,,Shehab-Thabet,,,,2019-6-20,00536000006DZLrAAO,2019-7-15,,,
Shehab-Thabet,,Sales-Meeting,,Shehab-Thabet,,,,2019-7-5,00536000006DZLrAAO,2019-7-15,,,
Shehab-Thabet,,Sales-Meeting,,Shehab-Thabet,,,,2019-7-15,00536000006DZLrAAO,2019-7-15,,,
00v1R00001RQkCUQA1,0,Benchmark-Report,,,Responded,1,0,2018-10-21,00536000006DZLrAAO,2018-10-21,00536000006DZLrAAO,10/21/18 10:05,2018-10-21
00v1R00001RQkEQQA1,0,Free-Trial,,,Responded,1,0,2018-10-21,00536000006DZLrAAO,2018-10-21,00536000006DZLrAAO,10/21/18 12:23,2018-10-21
00v1R00001RQkEaQAL,0,Developer-Edition,,,Responded,1,0,2018-10-21,00536000006DZLrAAO,2018-10-21,00536000006DZLrAAO,10/21/18 12:25,2018-10-21
00v1R00001RQkFTQA1,0,Benchmark-Report,,,Responded,1,0,2018-10-21,00536000006DZLrAAO,2018-10-21,00536000006DZLrAAO,10/21/18 13:13,2018-10-21
00v1R00001RQkGqQAL,0,Benchmark-Report,,,Responded,1,0,2018-10-21,00536000006DZLrAAO,2018-10-21,00536000006DZLrAAO,10/21/18 14:16,2018-10-21
00v1R00001RQkMjQAL,0,Test-Drive,,,Responded,1,0,2018-10-21,00536000006DZLrAAO,2018-10-21,00536000006DZLrAAO,10/21/18 18:18,2018-10-21
00v1R00001RQkZTQA1,0,Benchmark-Report,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 3:52,2018-10-21
00v1R00001RQkXcQAL,0,Benchmark-Report,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 2:04,2018-10-21
00v1R00001RQkXhQAL,0,70136000000lucWAAQ,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 2:05,2018-10-21
00v1R00001RQkccQAD,0,Developer-Edition,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 6:30,2018-10-21
00v1R00001RQkeTQAT,0,Developer-Edition,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 7:47,2018-10-22
00v1R00001RQkedQAD,0,Developer-Edition,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 8:01,2018-10-22
00v1R00001RRCxGQAX,0,701360000008Vo9AAE,,,Responded,1,0,2018-10-26,00536000006DZLrAAO,2018-10-26,00536000006DZLrAAO,10/26/18 18:17,2018-10-26
00v1R00001RRhOoQAL,0,701360000008VoEAAU,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 19:21,2018-10-30
00v1R00001RQkfqQAD,0,Benchmark-Report,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 10:23,2018-10-22
00v1R00001RQkfbQAD,0,Free-Trial,,0031R00001uovtCQAQ,Responded,1,1,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/23/18 1:21,2018-10-22
00v1R00001RRew6QAD,0,Benchmark-Report,,,Responded,1,0,2018-10-29,00536000006DZLrAAO,2018-10-29,00536000006DZLrAAO,10/29/18 23:47,2018-10-29
00v1R00001RQkhcQAD,0,Benchmark-Report,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 12:10,2018-10-22
00v1R00001RQrY6QAL,0,Free-Trial,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 2:58,2018-10-22
